#--- Experiment --------------------------------------------------------------------------
#240609_Freshwater_2
#
#--- System ------------------------------------------------------------------------------
#Data from PyroScience Workbench V1.4.7.2305   www.pyroscience.com
#WARD_FIRESTING1
#--- Instrument --------------------------------------------------------------------------
#Device: FireSting-O2-A [A] FSO2-C4 SN:24EB9B0359671DD3 Firmware:4.11 Build:001
#--- Channel -----------------------------------------------------------------------------
#Channel [A Ch.3] - Oxygen Sensor - XA6-538-211 
#--- Settings & Calibration --------------------------------------------------------------
#Settings:	Duration	Intensity	Amp	Frequency (Hz)	Crc Enable	Write Lock	Autom. Flash Duration	Autom. Amp Level	Broadcast Interval (ms)	Broadcast Enabled Sensors	Broadcast Options	Analyte	Fiber Type	Fiber Length (mm)	Radio Temp	Temperature (°C)	Opt. Temp. Chan.	Radio Pressure	Pressure (mbar)	Salinity (g/l)
#	16 ms	10% (A)	5M (200x)	4000	FALSE	FALSE	TRUE	TRUE	0	47	0	oxygen	1 mm	2000	External Temperature Sensor	20.000000	1	Internal Pressure Sensor	1013.000000	0.375000
#Calibration:	lastCal1	lastCal2	dphi 100% (°)	dphi 0% (°)	f	m	F(Hz)	tt(%/K)	kt(%/K)	Background Amplitude (mV)	Background dphi (°)	mt(1/K)	Tofs(K)	Ksv (1/mbar)	Method	Air Pressure (mbar)	Temperature (°C)	Humidity (%RH)	Temperature (°C) at 0%	Partial Volume of Oxygen (%O2)
#	6/9/2024	5/13/2024	21.358000	53.795000	0.804000	0.122000	4000	-0.056000	0.969000	0.900000	0.000000	-0.000303	0.000000	0.000000	fixed f	1003.696000	27.764000	53.926000	10.265000	20.950000
#--- Temperature Compensation Channel ----------------------------------------------------
#Compensation Channel [A T1] - PT100 Temperature Sensor - Calibration offset = 0.00°C
#Settings: n/a
#Calibration: n/a
#--- Pressure Compensation Channel -------------------------------------------------------
#Compensation Channel [A P1] - Internal Pressure Sensor
#Settings: n/a
#Calibration: n/a
#--- Measurement Data --------------------------------------------------------------------
Date [A Ch.3 Main]	Time [A Ch.3 Main]	 dt (s) [A Ch.3 Main]	Oxygen (%air sat.) [A Ch.3 Main]	dphi (°) [A Ch.3 Main]	Signal Intensity (mV) [A Ch.3 Main]	Ambient Light (mV) [A Ch.3 Main]	Status [A Ch.3 Main]	Date [A Ch.3 CompT]	Time [A Ch.3 CompT]	 dt (s) [A Ch.3 CompT]	Sample Temp. (°C) [A Ch.3 CompT]	Status [A Ch.3 CompT]	Date [A Ch.3 CompP]	Time [A Ch.3 CompP]	 dt (s) [A Ch.3 CompP]	Pressure (mbar) [A Ch.3 CompP]	Status [A Ch.3 CompP]
09-06-2024	16:50:06.207	-50.868	53.590	29.784	338	0	OK	09-06-2024	16:50:06.207	-50.868	20.223	OK	09-06-2024	16:50:06.207	-50.868	1004	OK
09-06-2024	16:55:06.195	249.120	48.428	31.018	354	0	OK	09-06-2024	16:55:06.195	249.120	20.225	OK	09-06-2024	16:55:06.195	249.120	1004	OK
09-06-2024	17:00:06.177	549.102	45.155	31.867	364	0	OK	09-06-2024	17:00:06.177	549.102	20.229	OK	09-06-2024	17:00:06.177	549.102	1004	OK
09-06-2024	17:05:06.175	849.100	42.608	32.565	372	0	OK	09-06-2024	17:05:06.175	849.100	20.230	OK	09-06-2024	17:05:06.175	849.100	1004	OK
09-06-2024	17:10:06.053	1148.978	40.400	33.198	379	0	OK	09-06-2024	17:10:06.053	1148.978	20.234	OK	09-06-2024	17:10:06.053	1148.978	1004	OK
09-06-2024	17:15:06.179	1449.105	38.435	33.788	385	0	OK	09-06-2024	17:15:06.179	1449.105	20.232	OK	09-06-2024	17:15:06.179	1449.105	1004	OK
09-06-2024	17:20:06.177	1749.102	36.539	34.380	387	0	OK	09-06-2024	17:20:06.177	1749.102	20.234	OK	09-06-2024	17:20:06.177	1749.102	1004	OK
09-06-2024	17:25:06.078	2049.003	34.705	34.978	392	1	OK	09-06-2024	17:25:06.078	2049.003	20.230	OK	09-06-2024	17:25:06.078	2049.003	1004	OK
09-06-2024	17:30:06.081	2349.006	33.001	35.552	398	0	OK	09-06-2024	17:30:06.081	2349.006	20.233	OK	09-06-2024	17:30:06.081	2349.006	1004	OK
09-06-2024	17:35:05.954	2648.879	31.268	36.163	405	0	OK	09-06-2024	17:35:05.954	2648.879	20.231	OK	09-06-2024	17:35:05.954	2648.879	1004	OK
09-06-2024	17:40:06.079	2949.004	29.634	36.761	411	0	OK	09-06-2024	17:40:06.079	2949.004	20.232	OK	09-06-2024	17:40:06.079	2949.004	1004	OK
09-06-2024	17:45:05.958	3248.883	27.998	37.384	418	0	OK	09-06-2024	17:45:05.958	3248.883	20.228	OK	09-06-2024	17:45:05.958	3248.883	1004	OK
09-06-2024	17:50:05.953	3548.879	26.432	38.003	424	1	OK	09-06-2024	17:50:05.953	3548.879	20.225	OK	09-06-2024	17:50:05.953	3548.879	1004	OK
09-06-2024	17:55:05.956	3848.881	24.860	38.649	431	0	OK	09-06-2024	17:55:05.956	3848.881	20.225	OK	09-06-2024	17:55:05.956	3848.881	1004	OK
09-06-2024	18:00:05.955	4148.880	23.340	39.297	438	0	OK	09-06-2024	18:00:05.955	4148.880	20.223	OK	09-06-2024	18:00:05.955	4148.880	1004	OK
09-06-2024	18:05:05.955	4448.880	21.814	39.972	445	0	OK	09-06-2024	18:05:05.955	4448.880	20.218	OK	09-06-2024	18:05:05.955	4448.880	1004	OK
09-06-2024	18:10:05.955	4748.881	20.353	40.644	452	0	OK	09-06-2024	18:10:05.955	4748.881	20.218	OK	09-06-2024	18:10:05.955	4748.881	1004	OK
09-06-2024	18:15:05.957	5048.882	18.920	41.329	459	0	OK	09-06-2024	18:15:05.957	5048.882	20.213	OK	09-06-2024	18:15:05.957	5048.882	1004	OK
09-06-2024	18:20:05.956	5348.881	17.506	42.031	467	0	OK	09-06-2024	18:20:05.956	5348.881	20.212	OK	09-06-2024	18:20:05.956	5348.881	1004	OK
09-06-2024	18:25:05.959	5648.884	16.160	42.727	474	0	OK	09-06-2024	18:25:05.959	5648.884	20.211	OK	09-06-2024	18:25:05.959	5648.884	1004	OK
09-06-2024	18:30:05.957	5948.882	14.874	43.416	481	0	OK	09-06-2024	18:30:05.957	5948.882	20.201	OK	09-06-2024	18:30:05.957	5948.882	1004	OK
09-06-2024	18:35:06.091	6249.016	13.612	44.116	487	0	OK	09-06-2024	18:35:06.091	6249.016	20.199	OK	09-06-2024	18:35:06.091	6249.016	1004	OK
09-06-2024	18:40:06.194	6549.119	12.414	44.805	494	0	OK	09-06-2024	18:40:06.194	6549.119	20.196	OK	09-06-2024	18:40:06.194	6549.119	1004	OK
09-06-2024	18:45:06.314	6849.239	11.266	45.489	501	0	OK	09-06-2024	18:45:06.314	6849.239	20.194	OK	09-06-2024	18:45:06.314	6849.239	1004	OK
09-06-2024	18:50:06.193	7149.118	10.159	46.170	507	0	OK	09-06-2024	18:50:06.193	7149.118	20.188	OK	09-06-2024	18:50:06.193	7149.118	1004	OK
09-06-2024	18:55:06.191	7449.117	9.152	46.809	514	0	OK	09-06-2024	18:55:06.191	7449.117	20.183	OK	09-06-2024	18:55:06.191	7449.117	1004	OK
09-06-2024	19:00:06.193	7749.118	8.160	47.458	520	0	OK	09-06-2024	19:00:06.193	7749.118	20.183	OK	09-06-2024	19:00:06.193	7749.118	1005	OK
09-06-2024	19:05:06.196	8049.121	7.231	48.084	526	0	OK	09-06-2024	19:05:06.196	8049.121	20.181	OK	09-06-2024	19:05:06.196	8049.121	1005	OK
09-06-2024	19:10:06.191	8349.116	6.382	48.673	531	0	OK	09-06-2024	19:10:06.191	8349.116	20.176	OK	09-06-2024	19:10:06.191	8349.116	1004	OK
09-06-2024	19:15:06.192	8649.117	5.582	49.242	536	0	OK	09-06-2024	19:15:06.192	8649.117	20.169	OK	09-06-2024	19:15:06.192	8649.117	1005	OK
09-06-2024	19:20:06.196	8949.122	4.821	49.796	540	0	OK	09-06-2024	19:20:06.196	8949.122	20.170	OK	09-06-2024	19:20:06.196	8949.122	1005	OK
09-06-2024	19:25:06.194	9249.119	4.124	50.316	544	0	OK	09-06-2024	19:25:06.194	9249.119	20.162	OK	09-06-2024	19:25:06.194	9249.119	1005	OK
09-06-2024	19:30:06.195	9549.120	3.507	50.786	548	0	OK	09-06-2024	19:30:06.195	9549.120	20.157	OK	09-06-2024	19:30:06.195	9549.120	1004	OK
09-06-2024	19:35:06.196	9849.121	2.914	51.247	552	0	OK	09-06-2024	19:35:06.196	9849.121	20.155	OK	09-06-2024	19:35:06.196	9849.121	1005	OK
09-06-2024	19:40:06.197	10149.122	2.396	51.656	556	0	OK	09-06-2024	19:40:06.197	10149.122	20.152	OK	09-06-2024	19:40:06.197	10149.122	1005	OK
09-06-2024	19:45:06.198	10449.124	1.916	52.042	559	0	OK	09-06-2024	19:45:06.198	10449.124	20.152	OK	09-06-2024	19:45:06.198	10449.124	1005	OK
09-06-2024	19:50:06.194	10749.119	1.505	52.377	562	0	OK	09-06-2024	19:50:06.194	10749.119	20.145	OK	09-06-2024	19:50:06.194	10749.119	1005	OK
09-06-2024	19:55:06.194	11049.120	1.108	52.705	564	0	OK	09-06-2024	19:55:06.194	11049.120	20.138	OK	09-06-2024	19:55:06.194	11049.120	1005	OK
09-06-2024	20:00:06.201	11349.126	0.789	52.972	567	0	OK	09-06-2024	20:00:06.201	11349.126	20.137	OK	09-06-2024	20:00:06.201	11349.126	1005	OK
09-06-2024	20:05:06.195	11649.121	0.498	53.218	570	0	OK	09-06-2024	20:05:06.195	11649.121	20.134	OK	09-06-2024	20:05:06.195	11649.121	1005	OK
09-06-2024	20:10:06.193	11949.118	0.251	53.428	572	1	OK	09-06-2024	20:10:06.193	11949.118	20.122	OK	09-06-2024	20:10:06.193	11949.118	1005	OK
09-06-2024	20:15:06.193	12249.118	0.054	53.598	574	0	OK	09-06-2024	20:15:06.193	12249.118	20.117	OK	09-06-2024	20:15:06.193	12249.118	1005	OK
