#--- Experiment --------------------------------------------------------------------------
#240610_Freshwater1
#
#--- System ------------------------------------------------------------------------------
#Data from PyroScience Workbench V1.4.7.2305   www.pyroscience.com
#WARD_FIRESTING1
#--- Instrument --------------------------------------------------------------------------
#Device: FireSting-O2-A [A] FSO2-C4 SN:24EB9B0359671DD3 Firmware:4.11 Build:001
#--- Channel -----------------------------------------------------------------------------
#Channel [A Ch.4] - Oxygen Sensor - XA6-538-211 
#--- Settings & Calibration --------------------------------------------------------------
#Settings:	Duration	Intensity	Amp	Frequency (Hz)	Crc Enable	Write Lock	Autom. Flash Duration	Autom. Amp Level	Broadcast Interval (ms)	Broadcast Enabled Sensors	Broadcast Options	Analyte	Fiber Type	Fiber Length (mm)	Radio Temp	Temperature (°C)	Opt. Temp. Chan.	Radio Pressure	Pressure (mbar)	Salinity (g/l)
#	16 ms	10% (A)	5M (200x)	4000	FALSE	FALSE	TRUE	TRUE	0	47	0	oxygen	1 mm	2000	External Temperature Sensor	20.000000	1	Internal Pressure Sensor	1013.000000	0.375000
#Calibration:	lastCal1	lastCal2	dphi 100% (°)	dphi 0% (°)	f	m	F(Hz)	tt(%/K)	kt(%/K)	Background Amplitude (mV)	Background dphi (°)	mt(1/K)	Tofs(K)	Ksv (1/mbar)	Method	Air Pressure (mbar)	Temperature (°C)	Humidity (%RH)	Temperature (°C) at 0%	Partial Volume of Oxygen (%O2)
#	6/9/2024	5/13/2024	21.358000	53.795000	0.804000	0.122000	4000	-0.056000	0.969000	0.900000	0.000000	-0.000303	0.000000	0.000000	fixed f	1003.696000	27.764000	53.926000	10.265000	20.950000
#--- Temperature Compensation Channel ----------------------------------------------------
#Compensation Channel [A T1] - PT100 Temperature Sensor - Calibration offset = 0.00°C
#Settings: n/a
#Calibration: n/a
#--- Pressure Compensation Channel -------------------------------------------------------
#Compensation Channel [A P1] - Internal Pressure Sensor
#Settings: n/a
#Calibration: n/a
#--- Measurement Data --------------------------------------------------------------------
Date [A Ch.4 Main]	Time [A Ch.4 Main]	 dt (s) [A Ch.4 Main]	Oxygen (%air sat.) [A Ch.4 Main]	dphi (°) [A Ch.4 Main]	Signal Intensity (mV) [A Ch.4 Main]	Ambient Light (mV) [A Ch.4 Main]	Status [A Ch.4 Main]	Date [A Ch.4 CompT]	Time [A Ch.4 CompT]	 dt (s) [A Ch.4 CompT]	Sample Temp. (°C) [A Ch.4 CompT]	Status [A Ch.4 CompT]	Date [A Ch.4 CompP]	Time [A Ch.4 CompP]	 dt (s) [A Ch.4 CompP]	Pressure (mbar) [A Ch.4 CompP]	Status [A Ch.4 CompP]
10-06-2024	10:01:07.431	38.358	73.363	26.030	184	0	OK	10-06-2024	10:01:07.431	38.358	19.124	OK	10-06-2024	10:01:07.431	38.358	1006	OK
10-06-2024	10:06:07.438	338.364	73.260	26.046	184	0	OK	10-06-2024	10:06:07.438	338.364	19.128	OK	10-06-2024	10:06:07.438	338.364	1006	OK
10-06-2024	10:11:07.438	638.365	73.203	26.053	184	0	OK	10-06-2024	10:11:07.438	638.365	19.135	OK	10-06-2024	10:11:07.438	638.365	1006	OK
10-06-2024	10:16:07.438	938.364	73.062	26.077	184	0	OK	10-06-2024	10:16:07.438	938.364	19.141	OK	10-06-2024	10:16:07.438	938.364	1006	OK
10-06-2024	10:21:07.440	1238.366	72.950	26.095	184	0	OK	10-06-2024	10:21:07.440	1238.366	19.149	OK	10-06-2024	10:21:07.440	1238.366	1006	OK
10-06-2024	10:26:07.443	1538.369	72.858	26.110	184	0	OK	10-06-2024	10:26:07.443	1538.369	19.157	OK	10-06-2024	10:26:07.443	1538.369	1006	OK
10-06-2024	10:31:07.442	1838.368	72.756	26.127	184	0	OK	10-06-2024	10:31:07.442	1838.368	19.161	OK	10-06-2024	10:31:07.442	1838.368	1006	OK
10-06-2024	10:36:07.442	2138.368	72.747	26.128	184	0	OK	10-06-2024	10:36:07.442	2138.368	19.168	OK	10-06-2024	10:36:07.442	2138.368	1006	OK
10-06-2024	10:41:07.448	2438.374	72.563	26.158	184	0	OK	10-06-2024	10:41:07.448	2438.374	19.174	OK	10-06-2024	10:41:07.448	2438.374	1006	OK
10-06-2024	10:46:07.445	2738.371	72.596	26.152	184	0	OK	10-06-2024	10:46:07.445	2738.371	19.181	OK	10-06-2024	10:46:07.445	2738.371	1006	OK
10-06-2024	10:51:07.446	3038.372	72.542	26.160	183	0	OK	10-06-2024	10:51:07.446	3038.372	19.188	OK	10-06-2024	10:51:07.446	3038.372	1006	OK
10-06-2024	10:56:07.448	3338.374	72.487	26.169	183	0	OK	10-06-2024	10:56:07.448	3338.374	19.193	OK	10-06-2024	10:56:07.448	3338.374	1006	OK
10-06-2024	11:01:07.446	3638.373	72.412	26.179	183	0	OK	10-06-2024	11:01:07.446	3638.373	19.205	OK	10-06-2024	11:01:07.446	3638.373	1006	OK
10-06-2024	11:06:07.451	3938.378	72.321	26.196	183	0	OK	10-06-2024	11:06:07.451	3938.378	19.207	OK	10-06-2024	11:06:07.451	3938.378	1006	OK
10-06-2024	11:11:07.449	4238.375	72.304	26.198	183	0	OK	10-06-2024	11:11:07.449	4238.375	19.216	OK	10-06-2024	11:11:07.449	4238.375	1006	OK
