Timestamp,Resistivity (Ohms),Salinity (ppt),Specific Conductance (uS/cm),TDS (g/L),Dissolved Oxygen (mg/L),Temperature (C),Comment,Site,Folder,Unit ID
6/11/24 12:20,-99999,88888,-99999,-99999,10.22,20.4,,,KN,SW
6/11/24 12:29,12327,0.04,88.6,0.0579,8.8,20.6,,,,WARD
6/11/24 12:35,130,4.65,8341,5.421,5.11,20.9,,,KN,SW
6/11/24 12:44,12132.4,0.04,90.1,0.0585,7.34,20.6,,,,WARD
6/11/24 12:50,128.1,4.69,8418,5.473,5.65,21.2,,,KN,SW
6/11/24 12:59,12060.3,0.04,90.5,0.0591,7.56,20.6,,,,WARD
6/11/24 13:05,126.1,4.75,8507,5.5315,5.56,21.5,,,KN,SW
6/11/24 13:14,11992.6,0.04,91,0.0591,7.52,20.6,,,,WARD
6/11/24 13:20,124,4.8,8601,5.59,5.74,21.7,,,KN,SW
6/11/24 13:29,11932.7,0.04,91.3,0.0591,7.48,20.7,,,,WARD
6/11/24 13:35,122.3,4.85,8688,5.6485,5.31,21.9,,,KN,SW
6/11/24 13:44,11927.8,0.04,91.3,0.0591,7.4,20.7,,,,WARD
6/11/24 13:50,120.6,4.9,8770,5.7005,5.48,22.1,,,KN,SW
6/11/24 13:59,11925.2,0.04,91.4,0.0591,7.35,20.7,,,,WARD
6/11/24 14:05,121.3,4.89,8748,5.6875,4.91,22,,,KN,SW
6/11/24 14:14,11908.8,0.04,91.5,0.0591,7.35,20.7,,,,WARD
6/11/24 14:20,120.3,4.92,8808,5.7265,5.16,22.1,,,KN,SW
6/11/24 14:29,11896.5,0.04,91.5,0.0598,7.32,20.7,,,,WARD
6/11/24 14:35,119.4,4.94,8830,5.7395,4.99,22.3,,,KN,SW
6/11/24 14:44,12099.1,0.04,90.1,0.0585,7.23,20.7,,,,WARD
6/11/24 14:50,119,4.94,8840,5.746,5.11,22.4,,,KN,SW
6/11/24 14:59,13119.9,0.04,83.6,0.0546,7.14,20.4,,,,WARD
6/11/24 15:05,118.9,4.93,8826,5.7395,5.07,22.5,,,KN,SW
6/11/24 15:14,13982.3,0.04,78.7,0.0514,6.89,20.2,,,,WARD
6/11/24 15:20,119.1,4.91,8795,5.72,5.19,22.6,,,KN,SW
6/11/24 15:29,14509.8,0.03,76.1,0.0494,6.27,20.1,,,,WARD
6/11/24 15:35,119.7,4.87,8722,5.668,5.13,22.8,,,KN,SW
6/11/24 15:44,14747.1,0.03,75.1,0.0488,6.21,19.9,,,,WARD
6/11/24 15:50,119,4.9,8766,5.7005,5.1,22.8,,,KN,SW
6/11/24 15:59,14942.5,0.03,74.4,0.0481,6.23,19.8,,,,WARD
6/11/24 16:05,118.7,4.92,8806,5.7265,5.09,22.7,,,KN,SW
6/11/24 16:20,118.1,4.95,8856,5.759,5.04,22.7,,,KN,SW
6/11/24 16:35,117.6,4.98,8900,5.785,5.17,22.7,,,KN,SW
6/11/24 16:50,118.9,4.95,8848,5.7525,4.7,22.4,,,KN,SW
6/11/24 17:05,120.5,4.91,8790,5.7135,4.72,22.1,,,KN,SW
6/11/24 17:20,121.9,4.88,8738,5.681,4.43,21.8,,,KN,SW
6/11/24 17:35,122.4,4.88,8729,5.6745,4.09,21.7,,,KN,SW
6/11/24 17:50,122.6,4.88,8726,5.6745,4.03,21.6,,,KN,SW
