datetime_raw,datetime_est,temp_c,spcond_us_cm,sal_psu,odo_mg_l,plot,type,flood,tod
2024-06-13T06:26:39Z,2024-06-13T10:26:39Z,17.463,137.6,0.06,9.58,FW,0_source,flood3,05:26:39
2024-06-13T06:41:39Z,2024-06-13T10:41:39Z,21.421,139.2,0.07,9.36,FW,0_source,flood3,05:41:39
2024-06-13T06:56:39Z,2024-06-13T10:56:39Z,21.541,139.2,0.07,9.29,FW,0_source,flood3,05:56:39
2024-06-13T07:11:39Z,2024-06-13T11:11:39Z,21.682,139.2,0.07,9.24,FW,0_source,flood3,06:11:39
2024-06-13T07:26:39Z,2024-06-13T11:26:39Z,21.722,139.2,0.07,9.23,FW,0_source,flood3,06:26:39
2024-06-13T07:41:39Z,2024-06-13T11:41:39Z,21.881,139.3,0.07,9.21,FW,0_source,flood3,06:41:39
2024-06-13T07:56:38Z,2024-06-13T11:56:38Z,21.925,139.2,0.07,9.19,FW,0_source,flood3,06:56:38
2024-06-13T08:11:38Z,2024-06-13T12:11:38Z,21.726,139.2,0.06,9.1,FW,0_source,flood3,07:11:38
2024-06-13T08:26:38Z,2024-06-13T12:26:38Z,22.014,139.2,0.06,9.2,FW,0_source,flood3,07:26:38
2024-06-13T08:41:38Z,2024-06-13T12:41:38Z,22.147,139.2,0.06,9.18,FW,0_source,flood3,07:41:38
2024-06-13T08:56:38Z,2024-06-13T12:56:38Z,22.236,139.2,0.06,9.15,FW,0_source,flood3,07:56:38
2024-06-13T09:11:38Z,2024-06-13T13:11:38Z,22.409,139.2,0.06,9.13,FW,0_source,flood3,08:11:38
2024-06-13T09:26:38Z,2024-06-13T13:26:38Z,22.161,126.4,0.06,9.29,FW,0_source,flood3,08:26:38
2024-06-13T09:41:38Z,2024-06-13T13:41:38Z,22.033,125.1,0.06,9.26,FW,0_source,flood3,08:41:38
2024-06-13T09:56:38Z,2024-06-13T13:56:38Z,22.636,138.2,0.06,9.15,FW,0_source,flood3,08:56:38
2024-06-13T10:11:38Z,2024-06-13T14:11:38Z,22.795,138.3,0.06,9.09,FW,0_source,flood3,09:11:38
2024-06-13T10:26:38Z,2024-06-13T14:26:38Z,22.374,122.9,0.06,9.21,FW,0_source,flood3,09:26:38
2024-06-13T10:41:38Z,2024-06-13T14:41:38Z,22.883,138.7,0.06,9.12,FW,0_source,flood3,09:41:38
2024-06-13T10:56:38Z,2024-06-13T14:56:38Z,22.994,138.9,0.06,9.11,FW,0_source,flood3,09:56:38
2024-06-13T11:11:38Z,2024-06-13T15:11:38Z,22.591,121.4,0.06,9.43,FW,0_source,flood3,10:11:38
2024-06-13T11:26:38Z,2024-06-13T15:26:38Z,23.078,137.6,0.06,9.48,FW,0_source,flood3,10:26:38
2024-06-13T11:41:38Z,2024-06-13T15:41:38Z,23.289,137.9,0.06,9.16,FW,0_source,flood3,10:41:38
2024-06-13T11:56:38Z,2024-06-13T15:56:38Z,23.412,138.3,0.06,9.13,FW,0_source,flood3,10:56:38
2024-06-13T12:11:38Z,2024-06-13T16:11:38Z,23.456,137.4,0.06,9.16,FW,0_source,flood3,11:11:38
2024-06-13T12:26:38Z,2024-06-13T16:26:38Z,23.359,135.8,0.06,9.52,FW,0_source,flood3,11:26:38
2024-06-13T12:41:38Z,2024-06-13T16:41:38Z,23.565,137.8,0.06,9.15,FW,0_source,flood3,11:41:38
2024-06-13T12:56:37Z,2024-06-13T16:56:37Z,23.7,137.9,0.06,9.03,FW,0_source,flood3,11:56:37
2024-06-13T13:11:37Z,2024-06-13T17:11:37Z,23.171,120.1,0.06,9.3,FW,0_source,flood3,12:11:37
2024-06-13T13:26:37Z,2024-06-13T17:26:37Z,23.527,135.4,0.06,9.43,FW,0_source,flood3,12:26:37
2024-06-13T13:41:37Z,2024-06-13T17:41:37Z,23.772,136.3,0.06,9.06,FW,0_source,flood3,12:41:37
2024-06-13T13:56:37Z,2024-06-13T17:56:37Z,23.877,136.7,0.06,9.02,FW,0_source,flood3,12:56:37
2024-06-13T14:11:37Z,2024-06-13T18:11:37Z,23.529,121.5,0.06,9.37,FW,0_source,flood3,13:11:37
2024-06-13T14:26:37Z,2024-06-13T18:26:37Z,23.929,136.6,0.06,9.32,FW,0_source,flood3,13:26:37
2024-06-13T14:41:37Z,2024-06-13T18:41:37Z,23.893,136.8,0.06,9.14,FW,0_source,flood3,13:41:37
